EmpID,Department,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,StandardHours,OverTime,SalarySlab,DistanceFromHome,BusinessTravel,PercentSalaryHike
RM1138,Research & Development,2814,10293,457,85,80,Yes,Upto 5k,26,Non-Travel,14
RM1274,Research & Development,2398,15999,1294,79,80,Yes,Upto 5k,8,Travel_Rarely,17
RM1340,Research & Development,2472,26092,391,75,80,Yes,Upto 5k,7,Travel_Rarely,23
RM1424,Research & Development,3375,17624,581,63,80,No,Upto 5k,1,Travel_Rarely,12
RM087,Sales,2322,9518,541,62,80,No,Upto 5k,2,Travel_Rarely,13
RM346,Research & Development,2904,16092,1309,83,80,No,Upto 5k,26,Travel_Rarely,12
RM517,Research & Development,2819,8544,885,58,80,No,Upto 5k,4,Travel_Rarely,16
RM551,Research & Development,2500,4344,650,37,80,No,Upto 5k,9,Travel_Rarely,14
RM566,Research & Development,3505,19630,310,79,80,No,Upto 5k,10,Travel_Rarely,18
RM586,Research & Development,1601,3445,1243,63,80,Yes,Upto 5k,6,Travel_Rarely,21
RM911,Research & Development,1223,16901,373,47,80,No,Upto 5k,1,Travel_Rarely,22
RM1083,Research & Development,2272,24812,507,97,80,No,Upto 5k,20,Travel_Rarely,14
RM1128,Research & Development,2073,12826,977,45,80,No,Upto 5k,10,Travel_Rarely,16
RM1202,Research & Development,3989,20586,1320,93,80,Yes,Upto 5k,8,Travel_Rarely,11
RM1214,Sales,2275,25103,427,99,80,Yes,Upto 5k,7,Travel_Rarely,21
RM1239,Research & Development,3295,12862,160,51,80,No,Upto 5k,4,Travel_Rarely,13
RM1409,Research & Development,2647,13672,571,78,80,No,Upto 5k,12,Travel_Rarely,13
RM1439,Sales,1790,26956,638,33,80,No,Upto 5k,9,Travel_Frequently,19
RM021,Research & Development,4011,8232,673,96,80,No,Upto 5k,11,Non-Travel,18
RM035,Research & Development,2293,3020,813,61,80,Yes,Upto 5k,1,Travel_Rarely,16
RM097,Sales,4999,17519,1353,33,80,No,Upto 5k,3,Travel_Rarely,21
RM114,Research & Development,2774,13257,1127,52,80,No,Upto 5k,18,Travel_Rarely,12
RM381,Sales,4260,5915,1371,77,80,Yes,Upto 5k,10,Travel_Rarely,12
RM415,Sales,3202,21972,1448,62,80,Yes,Upto 5k,1,Travel_Rarely,16
RM471,Sales,2400,5530,535,38,80,No,Upto 5k,24,Travel_Frequently,13
RM475,Research & Development,2725,21630,691,89,80,Yes,Upto 5k,23,Travel_Rarely,11
RM477,Research & Development,2127,9100,823,94,80,No,Upto 5k,17,Travel_Rarely,21
RM480,Research & Development,2886,14168,1287,55,80,Yes,Upto 5k,7,Travel_Frequently,16
RM526,Sales,4577,24785,693,65,80,No,Upto 5k,3,Travel_Rarely,14
RM587,Research & Development,2694,26551,1092,60,80,No,Upto 5k,9,Non-Travel,11
RM641,Research & Development,3162,10778,1269,46,80,No,Upto 5k,4,Non-Travel,17
RM725,Research & Development,4377,24117,1206,41,80,No,Upto 5k,17,Travel_Rarely,15
RM842,Research & Development,3597,6409,477,49,80,No,Upto 5k,24,Travel_Rarely,22
RM872,Research & Development,2210,3372,984,97,80,No,Upto 5k,17,Travel_Rarely,13
RM1026,Sales,4162,15211,1476,42,80,Yes,Upto 5k,4,Travel_Rarely,12
RM1061,Research & Development,3172,16998,381,89,80,Yes,Upto 5k,9,Travel_Frequently,11
RM1062,Sales,2033,7103,830,78,80,No,Upto 5k,13,Non-Travel,13
RM1098,Research & Development,2296,10036,350,57,80,No,Upto 5k,21,Travel_Rarely,14
RM1169,Research & Development,3760,17218,567,32,80,Yes,Upto 5k,2,Travel_Frequently,13
RM1218,Research & Development,4401,17616,581,62,80,No,Upto 5k,9,Travel_Rarely,16
RM1223,Human Resources,1555,11585,240,58,80,No,Upto 5k,22,Travel_Rarely,11
RM1231,Research & Development,3907,3622,506,91,80,No,Upto 5k,29,Travel_Rarely,13
RM1246,Human Resources,2145,2097,897,59,80,No,Upto 5k,10,Travel_Frequently,14
RM1408,Research & Development,4617,14120,771,45,80,No,Upto 5k,1,Travel_Rarely,12
RM108,Sales,5744,26959,240,46,80,Yes,5k-10k,5,Travel_Rarely,11
RM109,Research & Development,2889,26897,1280,64,80,No,Upto 5k,7,Travel_Rarely,11
RM139,Sales,8639,24835,959,41,80,No,5k-10k,28,Travel_Rarely,18
RM256,Research & Development,4898,7505,685,62,80,No,Upto 5k,1,Travel_Rarely,12
RM268,Research & Development,4000,18384,675,85,80,No,Upto 5k,5,Non-Travel,12
RM398,Sales,4487,12090,891,99,80,Yes,Upto 5k,4,Travel_Rarely,11
RM406,Research & Development,4031,9396,688,91,80,No,Upto 5k,3,Travel_Rarely,13
RM479,Sales,2096,26376,622,40,80,No,Upto 5k,13,Travel_Rarely,11
RM518,Sales,4851,15678,810,57,80,No,Upto 5k,8,Travel_Rarely,22
RM564,Sales,6180,22807,883,32,80,No,5k-10k,26,Travel_Rarely,23
RM619,Research & Development,3424,21632,180,65,80,No,Upto 5k,2,Travel_Rarely,13
RM635,Sales,4194,14363,141,98,80,Yes,Upto 5k,3,Travel_Rarely,18
RM639,Sales,4256,18154,583,87,80,No,Upto 5k,4,Travel_Rarely,12
RM684,Sales,2413,18798,867,36,80,Yes,Upto 5k,19,Travel_Rarely,18
RM797,Research & Development,3691,4605,1219,32,80,Yes,Upto 5k,4,Travel_Rarely,15
RM886,Sales,4950,20623,1356,57,80,No,Upto 5k,10,Travel_Rarely,14
RM912,Sales,1118,8040,599,73,80,Yes,Upto 5k,24,Travel_Frequently,14
RM935,Research & Development,2096,18830,266,40,80,No,Upto 5k,1,Travel_Rarely,18
RM966,Research & Development,3669,9075,882,67,80,No,Upto 5k,19,Travel_Rarely,11
RM994,Sales,6232,12477,1372,93,80,No,5k-10k,18,Travel_Rarely,11
RM1004,Research & Development,3229,4910,949,81,80,No,Upto 5k,1,Travel_Rarely,11
RM1022,Sales,4400,15182,383,68,80,No,Upto 5k,9,Travel_Rarely,12
RM1175,Research & Development,5206,4973,772,77,80,No,5k-10k,2,Travel_Frequently,17
RM1412,Human Resources,2187,19655,309,82,80,No,Upto 5k,2,Travel_Rarely,14
RM1414,Research & Development,3977,7298,977,57,80,Yes,Upto 5k,2,Travel_Rarely,19
RM1434,Sales,4907,13684,1382,85,80,Yes,Upto 5k,8,Travel_Rarely,22
RM043,Research & Development,2293,10558,1357,48,80,No,Upto 5k,25,Travel_Rarely,12
RM055,Sales,4157,21436,1443,47,80,Yes,Upto 5k,23,Travel_Rarely,19
RM126,Research & Development,2368,23300,841,46,80,No,Upto 5k,6,Travel_Rarely,19
RM135,Human Resources,2942,8916,1355,61,80,No,Upto 5k,25,Travel_Rarely,23
RM279,Research & Development,6397,26767,1479,84,80,No,5k-10k,1,Travel_Frequently,20
RM285,Research & Development,4741,22722,496,60,80,Yes,Upto 5k,11,Travel_Frequently,13
RM289,Research & Development,2373,14180,1449,45,80,Yes,Upto 5k,16,Travel_Rarely,13
RM294,Sales,5828,8450,950,48,80,Yes,5k-10k,4,Travel_Rarely,12
RM356,Sales,5296,20156,933,57,80,No,5k-10k,1,Travel_Rarely,17
RM383,Research & Development,3102,6582,575,73,80,No,Upto 5k,3,Travel_Frequently,22
RM419,Research & Development,2886,3032,1349,90,80,No,Upto 5k,23,Travel_Rarely,22
RM454,Human Resources,2741,22808,426,58,80,Yes,Upto 5k,17,Travel_Frequently,11
RM461,Sales,4306,4267,775,45,80,No,Upto 5k,29,Travel_Rarely,12
RM464,Research & Development,2340,23213,471,66,80,Yes,Upto 5k,24,Travel_Rarely,18
RM476,Sales,6272,7428,703,66,80,No,5k-10k,28,Travel_Rarely,20
RM506,Research & Development,2659,17759,991,71,80,Yes,Upto 5k,6,Travel_Rarely,13
RM572,Research & Development,4364,5288,575,71,80,No,Upto 5k,1,Travel_Frequently,14
RM574,Sales,5326,3064,1146,38,80,No,5k-10k,8,Travel_Rarely,17
RM615,Research & Development,2366,20898,887,88,80,Yes,Upto 5k,5,Travel_Frequently,14
RM686,Sales,4294,11148,1283,52,80,No,Upto 5k,1,Travel_Frequently,12
RM734,Research & Development,5472,3334,1066,32,80,No,5k-10k,2,Travel_Rarely,12
RM749,Sales,4969,21813,265,79,80,No,Upto 5k,29,Non-Travel,18
RM763,Research & Development,2042,15346,342,57,80,Yes,Upto 5k,2,Travel_Frequently,14
RM770,Research & Development,2007,25265,921,66,80,No,Upto 5k,1,Travel_Frequently,13
RM782,Research & Development,3955,11141,192,59,80,No,Upto 5k,1,Travel_Rarely,16
RM798,Research & Development,2377,19373,1330,37,80,No,Upto 5k,21,Travel_Rarely,20
RM844,Research & Development,4420,13421,1384,82,80,No,Upto 5k,3,Travel_Rarely,22
RM913,Research & Development,2875,9973,583,53,80,Yes,Upto 5k,4,Travel_Rarely,20
RM999,Research & Development,3904,4050,683,36,80,No,Upto 5k,2,Travel_Rarely,12
RM1005,Research & Development,3578,23577,652,100,80,No,Upto 5k,7,Travel_Rarely,12
RM1119,Research & Development,2061,11133,474,89,80,No,Upto 5k,3,Travel_Rarely,21
RM1207,Research & Development,2570,11925,786,76,80,No,Upto 5k,7,Non-Travel,20
RM1225,Research & Development,2305,6217,390,62,80,No,Upto 5k,17,Travel_Rarely,15
RM1298,Human Resources,2148,6889,920,69,80,Yes,Upto 5k,20,Travel_Rarely,11
RM1310,Sales,4684,9125,572,46,80,No,Upto 5k,10,Travel_Rarely,13
RM1350,Research & Development,2933,14908,482,90,80,Yes,Upto 5k,1,Travel_Rarely,13
RM1362,Research & Development,2544,7102,1096,61,80,No,Upto 5k,6,Travel_Frequently,18
RM1387,Research & Development,2867,20006,157,95,80,No,Upto 5k,1,Travel_Rarely,13
RM1465,Sales,2966,21378,1167,30,80,No,Upto 5k,5,Travel_Rarely,18
RM005,Research & Development,3468,16632,591,40,80,No,Upto 5k,2,Travel_Rarely,12
RM042,Research & Development,2341,19715,1240,33,80,No,Upto 5k,2,Travel_Rarely,13
RM044,Sales,8726,2975,994,37,80,No,5k-10k,8,Travel_Frequently,15
RM162,Research & Development,2024,5970,691,57,80,No,Upto 5k,9,Non-Travel,18
RM165,Research & Development,2566,25326,1450,79,80,Yes,Upto 5k,3,Non-Travel,15
RM171,Research & Development,3058,13364,1157,51,80,Yes,Upto 5k,17,Travel_Rarely,16
RM192,Research & Development,2279,11781,894,99,80,No,Upto 5k,9,Travel_Rarely,16
RM201,Research & Development,4298,9679,472,60,80,No,Upto 5k,1,Travel_Frequently,19
RM213,Sales,9981,12916,1242,90,80,No,5k-10k,20,Travel_Frequently,14
RM319,Research & Development,2478,20938,1220,85,80,Yes,Upto 5k,5,Travel_Rarely,12
RM321,Sales,4478,5242,1377,74,80,Yes,Upto 5k,2,Travel_Rarely,11
RM332,Sales,6349,22107,210,73,80,Yes,5k-10k,1,Non-Travel,13
RM340,Sales,6214,3415,1130,56,80,No,5k-10k,8,Travel_Rarely,18
RM374,Research & Development,3816,17881,1469,82,80,No,Upto 5k,1,Travel_Rarely,11
RM486,Research & Development,2187,5013,798,66,80,No,Upto 5k,6,Travel_Rarely,12
RM496,Sales,3041,16346,1420,85,80,No,Upto 5k,2,Travel_Rarely,11
RM513,Research & Development,2045,15174,1115,54,80,No,Upto 5k,3,Travel_Rarely,13
RM522,Sales,4647,16673,1410,71,80,Yes,Upto 5k,3,Travel_Frequently,20
RM531,Research & Development,7412,6009,608,68,80,No,5k-10k,1,Travel_Rarely,11
RM538,Research & Development,8793,4809,294,32,80,No,5k-10k,10,Travel_Frequently,21
RM555,Research & Development,6811,23398,975,55,80,No,5k-10k,7,Travel_Rarely,19
RM577,Sales,4342,24008,829,84,80,No,Upto 5k,8,Travel_Frequently,19
RM611,Research & Development,12808,8842,269,42,80,Yes,10k-15k,5,Travel_Rarely,16
RM616,Research & Development,1706,16571,443,50,80,No,Upto 5k,3,Non-Travel,11
RM671,Research & Development,2318,17808,618,76,80,No,Upto 5k,4,Travel_Rarely,19
RM718,Research & Development,2811,12086,1134,37,80,No,Upto 5k,16,Travel_Rarely,14
RM740,Research & Development,4227,4658,1055,47,80,No,Upto 5k,2,Travel_Rarely,18
RM787,Research & Development,4621,5869,1277,87,80,No,Upto 5k,8,Non-Travel,19
RM834,Research & Development,2539,7950,199,55,80,No,Upto 5k,6,Travel_Rarely,13
RM890,Research & Development,2235,14377,1103,42,80,Yes,Upto 5k,14,Travel_Rarely,14
RM903,Research & Development,2517,3208,1167,76,80,No,Upto 5k,4,Travel_Rarely,11
RM971,Sales,2534,6527,1291,98,80,No,Upto 5k,11,Travel_Rarely,14
RM975,Sales,5071,20392,793,43,80,No,5k-10k,2,Travel_Frequently,20
RM997,Sales,5769,7100,205,98,80,Yes,5k-10k,10,Travel_Rarely,11
RM998,Research & Development,2394,25681,135,51,80,Yes,Upto 5k,17,Travel_Rarely,13
RM1018,Research & Development,2099,7679,1377,91,80,No,Upto 5k,11,Travel_Rarely,14
RM1150,Research & Development,4066,16290,1302,67,80,No,Upto 5k,19,Travel_Rarely,11
RM1170,Research & Development,3517,22490,486,86,80,No,Upto 5k,8,Travel_Rarely,17
RM1171,Research & Development,2580,6297,591,87,80,No,Upto 5k,2,Travel_Frequently,13
RM1249,Research & Development,3445,6152,1054,67,80,No,Upto 5k,8,Travel_Rarely,11
RM1318,Research & Development,2379,19826,1297,53,80,Yes,Upto 5k,5,Travel_Frequently,14
RM1329,Sales,3540,7018,728,36,80,No,Upto 5k,23,Travel_Rarely,21
RM1335,Research & Development,4774,23844,1131,77,80,No,Upto 5k,15,Travel_Frequently,19
RM1351,Sales,6500,26997,511,89,80,No,5k-10k,2,Travel_Rarely,14
RM1368,Research & Development,2226,6073,1354,41,80,No,Upto 5k,2,TravelRarely,11
RM1380,Human Resources,2863,19555,1337,58,80,No,Upto 5k,22,Travel_Frequently,12
RM1394,Sales,4105,5099,954,44,80,No,Upto 5k,9,Travel_Rarely,14
RM1468,Research & Development,6142,5174,155,87,80,Yes,5k-10k,4,Travel_Rarely,20
RM015,Research & Development,2028,12947,103,50,80,Yes,Upto 5k,24,Travel_Rarely,14
RM052,Research & Development,3441,11179,1434,50,80,Yes,Upto 5k,5,Travel_Rarely,13
RM098,Sales,4221,8863,120,43,80,No,Upto 5k,4,Non-Travel,15
RM163,Research & Development,2713,6672,440,42,80,No,Upto 5k,21,Travel_Rarely,11
RM265,Research & Development,3485,14935,529,79,80,No,Upto 5k,2,Travel_Rarely,11
RM273,Research & Development,2070,2613,1158,94,80,No,Upto 5k,9,Travel_Rarely,23
RM290,Research & Development,3310,4488,1117,66,80,No,Upto 5k,8,Travel_Rarely,21
RM303,Research & Development,5661,4824,1476,68,80,No,5k-10k,16,Travel_Rarely,19
RM324,Research & Development,3464,24737,1157,84,80,Yes,Upto 5k,2,Travel_Rarely,13
RM375,Sales,5253,20750,304,92,80,No,5k-10k,9,Travel_Rarely,16
RM405,Research & Development,4558,13535,1300,79,80,No,Upto 5k,17,Travel_Rarely,12
RM541,Research & Development,2216,3872,654,67,80,Yes,Upto 5k,1,Travel_Rarely,13
RM599,Research & Development,4382,16374,890,46,80,No,Upto 5k,2,Travel_Rarely,17
RM613,Sales,4779,3698,760,81,80,Yes,Upto 5k,2,Travel_Rarely,20
RM630,Human Resources,4936,23965,1169,63,80,No,Upto 5k,8,Travel_Rarely,13
RM660,Sales,4908,24252,821,98,80,No,Upto 5k,5,Travel_Rarely,14
RM669,Research & Development,2377,9834,995,77,80,No,Upto 5k,9,Travel_Rarely,18
RM765,Sales,1052,23384,1144,74,80,No,Upto 5k,10,Travel_Rarely,22
RM781,Research & Development,8722,12355,1366,72,80,No,5k-10k,24,Non-Travel,12
RM789,Research & Development,3660,7909,857,59,80,No,Upto 5k,10,Travel_Rarely,13
RM794,Research & Development,2207,22482,895,50,80,No,Upto 5k,15,Travel_Rarely,16
RM801,Research & Development,2596,7160,1009,45,80,No,Upto 5k,1,Travel_Frequently,15
RM810,Research & Development,7655,8039,950,93,80,No,5k-10k,3,Travel_Rarely,17
RM820,Research & Development,3201,19911,1451,67,80,No,Upto 5k,2,Travel_Rarely,17
RM828,Research & Development,2703,22088,773,39,80,Yes,Upto 5k,6,Travel_Frequently,14
RM843,Research & Development,2515,22955,1485,79,80,Yes,Upto 5k,12,Travel_Rarely,11
RM869,Research & Development,3196,12449,1179,78,80,No,Upto 5k,19,Travel_Rarely,12
RM922,Research & Development,2154,6842,791,44,80,Yes,Upto 5k,1,Travel_Frequently,11
RM930,Research & Development,3867,14222,193,52,80,Yes,Upto 5k,2,Travel_Frequently,12
RM934,Research & Development,2080,4732,640,84,80,No,Upto 5k,1,Travel_Rarely,11
RM945,Research & Development,6674,16392,1476,55,80,No,5k-10k,1,Non-Travel,11
RM985,Sales,4724,24232,736,48,80,No,Upto 5k,26,Travel_Rarely,11
RM1042,Sales,8463,23490,866,84,80,No,5k-10k,5,Travel_Rarely,18
RM1057,Sales,2909,15747,1496,92,80,No,Upto 5k,1,Travel_Frequently,15
RM1069,Research & Development,2561,5355,289,38,80,No,Upto 5k,2,Travel_Frequently,11
RM1070,Research & Development,1563,12530,1423,72,80,No,Upto 5k,1,Travel_Rarely,14
RM1071,Sales,4898,11827,467,55,80,No,Upto 5k,7,Travel_Frequently,14
RM1074,Research & Development,6549,3173,1083,96,80,No,5k-10k,29,Travel_Rarely,14
RM1137,Research & Development,2408,7324,329,51,80,Yes,Upto 5k,24,Travel_Rarely,17
RM1152,Research & Development,4877,20460,580,39,80,No,Upto 5k,27,Travel_Rarely,21
RM1284,Research & Development,2044,5531,1181,82,80,No,Upto 5k,1,Travel_Rarely,11
RM1308,Research & Development,3591,12719,1217,67,80,No,Upto 5k,1,Travel_Rarely,25
RM1324,Human Resources,2706,10494,280,43,80,No,Upto 5k,1,Non-Travel,15
RM1338,Sales,2856,3692,1172,78,80,No,Upto 5k,3,Travel_Rarely,19
RM1365,Sales,6834,19255,783,42,80,Yes,5k-10k,1,Travel_Frequently,12
RM1370,Sales,9854,23352,1475,84,80,Yes,5k-10k,13,Travel_Rarely,11
RM1382,Research & Development,2144,2122,1103,49,80,No,Upto 5k,16,Non-Travel,14
RM1391,Research & Development,2367,18779,1404,32,80,No,Upto 5k,17,Travel_Rarely,12
RM012,Research & Development,4193,12682,153,49,80,Yes,Upto 5k,15,Travel_Rarely,12
RM016,Research & Development,9980,10195,1389,51,80,No,5k-10k,21,Travel_Rarely,11
RM072,Research & Development,2703,4956,1328,76,80,No,Upto 5k,2,Travel_Rarely,23
RM156,Research & Development,4319,26283,1496,41,80,No,Upto 5k,1,Non-Travel,13
RM206,Sales,7639,24525,121,35,80,No,5k-10k,27,Travel_Rarely,22
RM218,Research & Development,2058,19757,992,85,80,No,Upto 5k,1,Travel_Rarely,14
RM228,Sales,7918,6599,1413,42,80,No,5k-10k,1,Travel_Frequently,14
RM230,Research & Development,2389,14961,896,86,80,Yes,Upto 5k,18,Travel_Rarely,13
RM253,Research & Development,2340,22673,665,60,80,No,Upto 5k,15,Travel_Rarely,19
RM255,Sales,6931,10732,1247,45,80,No,5k-10k,20,Travel_Rarely,14
RM266,Sales,6644,3687,1210,78,80,No,5k-10k,2,Travel_Rarely,19
RM283,Sales,4554,20260,442,44,80,No,Upto 5k,2,Travel_Frequently,18
RM337,Research & Development,2119,4759,318,77,80,Yes,Upto 5k,8,Travel_Rarely,11
RM338,Research & Development,3983,7621,738,30,80,No,Upto 5k,9,Travel_Rarely,17
RM344,Sales,8268,11866,144,39,80,Yes,5k-10k,10,Travel_Rarely,14
RM350,Sales,4649,16928,746,61,80,No,Upto 5k,2,Non-Travel,14
RM372,Research & Development,2201,18168,1283,54,80,No,Upto 5k,23,Travel_Rarely,16
RM421,Research & Development,11935,21526,986,93,80,No,10k-15k,3,Travel_Rarely,18
RM422,Research & Development,2546,18300,408,71,80,No,Upto 5k,25,Travel_Rarely,16
RM455,Research & Development,4262,22645,232,34,80,No,Upto 5k,19,Travel_Rarely,12
RM508,Sales,5561,3487,1176,62,80,No,5k-10k,3,Travel_Rarely,14
RM520,Research & Development,2720,18959,806,76,80,No,Upto 5k,1,Travel_Frequently,18
RM547,Sales,2642,2755,1396,99,80,No,Upto 5k,10,Travel_Rarely,11
RM556,Sales,2297,17967,1090,83,80,No,Upto 5k,10,Travel_Rarely,14
RM573,Research & Development,4335,25549,657,66,80,No,Upto 5k,27,Travel_Rarely,12
RM590,Research & Development,2319,6689,805,36,80,Yes,Upto 5k,1,Travel_Rarely,11
RM595,Research & Development,2700,23779,1252,81,80,No,Upto 5k,23,Travel_Rarely,24
RM646,Sales,2800,23522,341,48,80,Yes,Upto 5k,1,Travel_Rarely,19
RM658,Research & Development,2532,6054,1086,62,80,No,Upto 5k,7,Travel_Rarely,14
RM698,Sales,2157,18203,1404,84,80,No,Upto 5k,20,Travel_Frequently,15
RM712,Research & Development,2404,11479,906,92,80,Yes,Upto 5k,10,Travel_Rarely,20
RM809,Research & Development,2514,26968,1107,93,80,No,Upto 5k,28,Travel_Rarely,22
RM824,Research & Development,3291,17940,490,61,80,No,Upto 5k,10,Travel_Frequently,14
RM826,Research & Development,5056,17689,718,79,80,Yes,5k-10k,8,Travel_Rarely,15
RM837,Sales,7336,11162,408,45,80,No,5k-10k,23,Travel_Rarely,13
RM853,Research & Development,3131,26342,1401,54,80,No,Upto 5k,6,Travel_Rarely,13
RM860,Research & Development,2168,26933,942,69,80,Yes,Upto 5k,15,Travel_Rarely,18
RM894,Research & Development,3760,5598,1010,97,80,No,Upto 5k,1,Travel_Rarely,15
RM904,Research & Development,6623,4204,1329,82,80,Yes,5k-10k,7,Travel_Rarely,11
RM906,Research & Development,16124,3423,694,87,80,No,15k+,1,Travel_Rarely,14
RM933,Research & Development,3339,17285,806,39,80,Yes,Upto 5k,7,Travel_Rarely,13
RM1006,Human Resources,7988,9769,332,51,80,No,5k-10k,17,Travel_Rarely,13
RM1008,Research & Development,7553,22930,337,84,80,Yes,5k-10k,14,Travel_Frequently,12
RM1058,Sales,5765,17485,115,51,80,No,5k-10k,13,Travel_Frequently,11
RM1064,Sales,8620,23757,1246,77,80,No,5k-10k,19,Travel_Rarely,14
RM1073,Research & Development,3180,4668,410,97,80,No,Upto 5k,2,Travel_Frequently,13
RM1078,Research & Development,2362,7568,224,100,80,No,Upto 5k,1,Travel_Rarely,13
RM1091,Research & Development,9715,7288,441,39,80,No,5k-10k,8,Travel_Rarely,13
RM1105,Research & Development,2451,22376,598,91,80,No,Upto 5k,9,Travel_Rarely,18
RM1123,Research & Development,4723,16213,1370,87,80,Yes,Upto 5k,3,Travel_Rarely,18
RM1126,Research & Development,8853,24483,995,87,80,No,5k-10k,2,Travel_Frequently,19
RM1173,Sales,5869,23413,469,42,80,No,5k-10k,10,Travel_Rarely,11
RM1189,Sales,4187,3356,991,43,80,Yes,Upto 5k,5,Travel_Rarely,13
RM1220,Research & Development,2974,25412,1082,43,80,No,Upto 5k,9,Travel_Rarely,17
